stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1,1,"Terrace Apartments",,40.860586,-79.892732,,,0,,0
10,10,"New Castle across BHS Entrance on Rt5",,40.867179,-79.92111,,,0,,0
101,101,"Carbon at Third",,40.86297,-79.882059,,,0,,0
102,102,"Carbon and Second",,40.862716,-79.883309,,,0,,0
103,103,"First at Carbon",,40.862521,-79.88491,,,0,,0
104,104,"Eau Claire at First",,40.863826,-79.885175,,,0,,0
105,105,"Second at Eau Claire",,40.864091,-79.883979,,,0,,0
106,106,"Food Court at the Clearview Mall",,40.896975,-79.905548,,,0,,0
107,107,"Advanced Auto at Evans Rd",,40.882832,-79.89937,,,0,,0
108,108,"Butler Medical Assoc Avada Bldg",,40.877479,-79.898754,,,0,,0
109,109,"Butler Townshouses",,40.868849,-79.895137,,,0,,0
11,11,"East Penn at N McKean RT1",,40.865039,-79.893429,,,0,,0
110,110,"Main and W Pearl",,40.866726,-79.895162,,,0,,0
111,111,"Main and Penn St",,40.86513,-79.895268,,,0,,0
112,112,"Main and West Brady St",,40.863496,-79.895271,,,0,,0
113,113,"Brady and Washington St",,40.863524,-79.896805,,,0,,0
115,115,"Washington and Jefferson St by PARC",,40.861136,-79.897017,,,0,,0
116,116,"Chestnut and Jefferson St",,40.860962,-79.900527,,,0,,0
119,119,"Chestnut and Wayne",,40.856989,-79.900446,,,0,,0
120,120,"Wayne and Washington St",,40.857161,-79.897051,,,0,,0
122,122,"Roosevelt Blvd",,40.853654,-79.899418,,,0,,0
123,123,"Greenview Garden Apts",,40.851719,-79.901461,,,0,,0
125,125,"Coverdale and Alhambra at Roosevelt",,40.848724,-79.902418,,,0,,0
126,126,"Pittsburgh Pike",,40.846176,-79.90026,,,0,,0
127,127,"Old Plank and Grandview Blvd",,40.847887,-79.901778,,,0,,0
128,128,"Old Plank and Walters",,40.845527,-79.900538,,,0,,0
129,129,"Litman Road",,40.842247,-79.902656,,,0,,0
130,130,"Old Plank Estates",,40.837486,-79.902756,,,0,,0
131,131,"Old Plank and Dutchtown",,40.836127,-79.904889,,,0,,0
132,132,"Mama Rosa",,40.829245,-79.908823,,,0,,0
133,133,"Old Plank and Spooner",,40.827944,-79.909386,,,0,,0
134,134,"Butler County Community College",,40.826436,-79.911643,,,0,,0
139,139,"former Friedmans at Greater Butler Mart",,40.843343,-79.917997,,,0,,0
141,141,"Hansen Ave at Pullman light",,40.854201,-79.911646,,,0,,0
142,142,"Pillow and South 6th",,40.860254,-79.908642,,,0,,0
144,144,"Pillow and 3rd",,40.860389,-79.906158,,,0,,0
145,145,"Pillow and Cunningham",,40.861364,-79.904221,,,0,,0
146,146,"Cunningham and Chestnut",,40.859875,-79.900297,,,0,,0
147,147,"Cunningham and Washington",,40.859943,-79.89702,,,0,,0
148,148,"Pearl at Second",,40.866816,-79.885226,,,0,,0
149,149,"Pearl and Oak Street",,40.866418,-79.887723,,,0,,0
15,15,"New Castle and N. 6th Ave.",,40.862823,-79.908412,,,0,,0
150,150,"Pearl and Monroe Street",,40.866407,-79.888676,,,0,,0
151,151,"Pearl and Elm Street",,40.866405,-79.889667,,,0,,0
152,152,"Pearl and Franklin Street",,40.866313,-79.891369,,,0,,0
153,153,"McKean at Pearl Street",,40.86635,-79.893467,,,0,,0
154,154,"McKean and Fulton",,40.867175,-79.893446,,,0,,0
155,155,"Lumar Village",,40.871465,-79.891572,,,0,,0
156,156,"McKean at E. Penn RT3",,40.864993,-79.893496,,,0,,0
157,157,"McKean at Polk",,40.868664,-79.893413,,,0,,0
159,159,"Bon Aire Shopping",,40.882226,-79.898593,,,0,,0
160,160,"Beech Rd and Rt 8",,40.885913,-79.901788,,,0,,0
163,163,"Texas Roadhouse",,40.895088,-79.904873,,,0,,0
164,164,"Whitestown and Young",,40.859857,-79.932591,,,0,,0
165,165,"6th and New Castle going down hill",,40.862748,-79.908656,,,0,,0
166,166,"Edwards and BHS Entrance",,40.866957,-79.921029,,,0,,0
168,168,"Kings Restaurant by Motel sign",,40.867963,-79.923375,,,0,,0
169,169,"Harbor Freight at Moraine Point",,40.875306,-79.952892,,,0,,0
