Route,Stop,Ridership,Name,Lat,Lon
21,526,848,East Busway Section D,40.444826,-79.991077
21,541,2,Dinnerbell Rd NB,40.756498,-79.924032
21,508,304,Dinnerbell Rd Rt8,40.7567,-79.9242
21,511,494,Duncan Ave PNR NB,40.558887,-79.959068
21,543,160,Duncan Avenue PNR SB,40.55879,-79.95928
21,525,0,East Busway Penn Station,40.443534,-79.993252
21,539,43,Gibsonia Rd Rt 8 NB,40.634447,-79.939676
21,509,123,Gibsonia Rd Rt8 SB,40.635032,-79.93978
21,504,13,Glade Run Church PNR,40.715574,-79.929023
21,540,159,Glade Run RT8 NB,40.715349,-79.929305
21,503,1,Mike Kelly Dealership,40.816292,-79.9276
21,542,20,Mike Kelly Rt8 NB,40.816326,-79.927417
21,501,371,Pullman Square PNR at 130 Hollywood Dr.,40.852261,-79.909594
21,524,137,Strawberry Way/Steel Tower,40.441422,-79.995349
21,502,22,Super 8 Route 8 SB,40.840418,-79.918715
21,257,562,Terminal New Castle St.,40.861722,-79.896562
21,219,15,Tesla Bio (Former Days Inn),40.84038,-79.918465
21,538,31,Wildwood Rd NB,40.590207,-79.948235
21,510,76,Wildwood Rd Rt8 SB,40.590391,-79.94843
22,526,749,East Busway Section D,40.444826,-79.991077
22,541,11,Dinnerbell Rd NB,40.756498,-79.924032
22,508,21,Dinnerbell Rd Rt8,40.7567,-79.9242
22,511,707,Duncan Ave PNR NB,40.558887,-79.959068
22,543,195,Duncan Avenue PNR SB,40.55879,-79.95928
22,525,0,East Busway Penn Station,40.443534,-79.993252
22,539,70,Gibsonia Rd Rt 8 NB,40.634447,-79.939676
22,509,129,Gibsonia Rd Rt8 SB,40.635032,-79.93978
22,504,210,Glade Run Church PNR,40.715574,-79.929023
22,540,46,Glade Run RT8 NB,40.715349,-79.929305
22,503,0,Mike Kelly Dealership,40.816292,-79.9276
22,542,12,Mike Kelly Rt8 NB,40.816326,-79.927417
22,501,462,Pullman Square PNR at 130 Hollywood Dr.,40.852261,-79.909594
22,524,225,Strawberry Way/Steel Tower,40.441422,-79.995349
22,502,106,Super 8 Route 8 SB,40.840418,-79.918715
22,257,"1,289",Terminal New Castle St.,40.861722,-79.896562
22,219,18,Tesla Bio (Former Days Inn),40.84038,-79.918465
22,538,31,Wildwood Rd NB,40.590207,-79.948235
22,510,211,Wildwood Rd Rt8 SB,40.590391,-79.94843
23,554,0,Rt68 at Ash Ave NB,40.774034,-80.054278
23,521,0,Rt 68 at Ash Stop Rd SB,40.786488,-80.034801
23,553,0,Rt68 at Ash Stop Rd NB,40.786483,-80.034632
23,532,0,Rt. 68 at Brandywine SB,40.852673,-79.982916
23,548,0,Rt68 at Brandywine NB,40.852494,-79.982852
23,526,"1,100",East Busway Section D,40.444826,-79.991077
23,534,0,Rt 68 at Constitution Ave SB,40.818516,-80.010374
23,551,2,Rt 68 at Constitution Ave NB,40.818387,-80.010192
23,525,0,East Busway Penn Station,40.443534,-79.993252
23,556,136,Edco Park NB,40.769082,-80.06626
23,517,14,Edco Park Evans City,40.769134,-80.066039
23,537,18,Jackson St. Evans City,40.769513,-80.061423
23,555,2,Jackson St. NB,40.769353,-80.061597
23,544,0,Malwood Dr. NB,40.868051,-79.923618
23,527,211,New Castle Rd at Malwood SBDr,40.868131,-79.923517
23,557,4,Rt68 at Meridian NB,40.862148,-79.967789
23,550,1,Rt68 @ Moose NB,40.827424,-80.010091
23,533,0,Rt 68 at Moose Rd,40.827508,-80.010196
23,501,456,Pullman Square PNR at 130 Hollywood Dr.,40.852261,-79.909594
23,552,0,Rt68 at Reibold NB,40.808398,-80.014999
23,535,0,Rt 68 at Reibold Rd SB,40.808758,-80.015007
23,518,"1,944",Rt 528 Park N Ride,40.759766,-80.115454
23,528,10,Rt 68 at S. Duffy,40.867874,-79.93979
23,545,3,Rt.68 @ S. Duffy NB,40.867767,-79.93975
23,536,2,Rt. 68 at Ash Ave SB,40.774165,-80.054327
23,530,8,S. Benbrook at Benbrook SB,40.862348,-79.967578
23,531,0,Kriess at Eagle Mill Rd SB,40.853818,-79.98095
23,547,3,Rt68 Kriess NB,40.853608,-79.981093
23,549,0,Rt68 Stevenson NB,40.842995,-79.994527
23,520,0,Rt 68 at Stevenson Rd,40.843147,-79.994338
23,529,21,Rt68 at Stirling,40.867275,-79.950082
23,226,13,Stirling Village,40.867148,-79.950159
23,524,5,Strawberry Way/Steel Tower,40.441422,-79.995349
24,554,4,Rt68 at Ash Ave NB,40.774034,-80.054278
24,521,0,Rt 68 at Ash Stop Rd SB,40.786488,-80.034801
24,553,0,Rt68 at Ash Stop Rd NB,40.786483,-80.034632
24,532,0,Rt. 68 at Brandywine SB,40.852673,-79.982916
24,548,0,Rt68 at Brandywine NB,40.852494,-79.982852
24,526,"1,045",East Busway Section D,40.444826,-79.991077
24,534,4,Rt 68 at Constitution Ave SB,40.818516,-80.010374
24,551,0,Rt 68 at Constitution Ave NB,40.818387,-80.010192
24,525,0,East Busway Penn Station,40.443534,-79.993252
24,517,25,Edco Park Evans City,40.769134,-80.066039
24,537,47,Jackson St. Evans City,40.769513,-80.061423
24,555,2,Jackson St. NB,40.769353,-80.061597
24,544,0,Malwood Dr. NB,40.868051,-79.923618
24,527,184,New Castle Rd at Malwood SBDr,40.868131,-79.923517
24,557,0,Rt68 at Meridian NB,40.862148,-79.967789
24,550,0,Rt68 @ Moose NB,40.827424,-80.010091
24,533,0,Rt 68 at Moose Rd,40.827508,-80.010196
24,501,282,Pullman Square PNR at 130 Hollywood Dr.,40.852261,-79.909594
24,552,0,Rt68 at Reibold NB,40.808398,-80.014999
24,535,0,Rt 68 at Reibold Rd SB,40.808758,-80.015007
24,518,"3,370",Rt 528 Park N Ride,40.759766,-80.115454
24,528,3,Rt 68 at S. Duffy,40.867874,-79.93979
24,545,0,Rt.68 @ S. Duffy NB,40.867767,-79.93975
24,536,0,Rt. 68 at Ash Ave SB,40.774165,-80.054327
24,530,0,S. Benbrook at Benbrook SB,40.862348,-79.967578
24,531,3,Kriess at Eagle Mill Rd SB,40.853818,-79.98095
24,547,0,Rt68 Kriess NB,40.853608,-79.981093
24,549,0,Rt68 Stevenson NB,40.842995,-79.994527
24,520,0,Rt 68 at Stevenson Rd,40.843147,-79.994338
24,529,1,Rt68 at Stirling,40.867275,-79.950082
